Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C16, C18, C3, C4, C5, C6, C7",603,11,100nF,C14663
"C12, C13",603,2,22uF,C59461
C15,603,1,10uF,C96446
"C17, C8, C9",603,3,1uF,C15849
C19,402,1,4.7nF,C346200
C2,603,1,12pF,C38523
"C20, C21",402,2,22pF,C1555
"C22, C24, C27, C28, C29, C30, C31, C32, C33, C34",402,10,100nF,C307331
"C23, C25",402,2,1uF,C52923
"C26, C35",402,2,4.7uF,
C36,402,1,100n,
"D1, D6",603,2,YELLOW,C72038
"D2, D3, D4, D5",D_SOD-123,4,D_Schottky,C82544
"F1, F2",805,2,1A,C468888
FID1,Fiducial_0.5mm_Mask1mm,1,Fiducial,N/A
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_DATA,C165948
J2,TF01A,1,TF003,C5155563 
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,N/A
J4,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,N/A
J5,PinHeader_2x25-2_P2.00mm_straddle,1,SCSI_50-2P_2mm,N/A
J6,IDC-Header_2x25_P2.54mm_Horizontal,1,SCSI_50P_2.54mm,N/A
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,N/A
JP3,PinHeader_2x01_P2.54mm_Vertical,1,Jumper_2_Open,N/A
L1,603,1,Ferrite_Bead_Small,C1002
L2,L_Vishay_IHLP-2525,1,2.2uH,C540967
L3,1008,1,3.3uH,C222831
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,18,AO3401A,C15127
"R1, R10, R11, R12, R13, R18, R2, R3, R40, R43, R5, R54, R7, R8, R9",603,15,4k7,C23162
"R14, R53",402,2,1k,C11702
R15,402,1,1M,C26083
"R16, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39",603,19,110,C22781
"R17, R19, R20, R21, R4, R51, R6",603,7,1k,C21190
R41,603,1,31k6,C25967
R42,603,1,10k,C25804
R45,603,1,0,C21189
"R46, R47",402,2,5k1,C25905
"R48, R49",402,2,27,C25092
"R50, R52",603,2,510,C23193
SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x04,C5160841
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C9900136995
U10,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
"U2, U3",SSOP-20_5.3x7.2mm_P0.65mm,2,74LVT245,C2652121
U4,SOT-23-5,1,74AHCT1G125,C12494
"U5, U6",TSSOP-14_4.4x5mm_P0.65mm,2,74LVT125,C7042
U7,SOT-223-3_TabPin2,1,AZ1117-2.85,C14791
U8,TSOT-23-6,1,AP62250WU,C5184228
U9,SOT-23-6,1,USB TVS,C2827654
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C133334
